2025-07-08 17:03:58,573 - WARNING - Пропускаем запись с serialno: S171, начинается на 'S'.
2025-07-08 17:03:58,573 - WARNING - Пропускаем запись с serialno: S75, начинается на 'S'.
2025-07-08 17:03:58,574 - WARNING - Пропускаем запись с serialno: S45, начинается на 'S'.
2025-07-08 17:03:58,575 - WARNING - Пропускаем запись с serialno: S100, начинается на 'S'.
2025-07-08 17:03:58,575 - WARNING - Пропускаем запись с serialno: S62, начинается на 'S'.
2025-07-08 17:03:58,576 - WARNING - Пропускаем запись с serialno: S48, начинается на 'S'.
2025-07-08 17:03:58,576 - WARNING - Пропускаем запись с serialno: S97, начинается на 'S'.
2025-07-08 17:03:58,576 - WARNING - Пропускаем запись с serialno: S21, начинается на 'S'.
2025-07-08 17:03:58,577 - WARNING - Пропускаем запись с serialno: S203, начинается на 'S'.
2025-07-08 17:03:58,577 - WARNING - Пропускаем запись с serialno: S172, начинается на 'S'.
2025-07-08 17:03:58,577 - WARNING - Пропускаем запись с serialno: S105, начинается на 'S'.
2025-07-08 17:03:58,578 - WARNING - Пропускаем запись с serialno: S4, начинается на 'S'.
2025-07-08 17:03:58,578 - WARNING - Пропускаем запись с serialno: S206, начинается на 'S'.
2025-07-08 17:03:58,578 - WARNING - Пропускаем запись с serialno: S177, начинается на 'S'.
2025-07-08 17:03:58,579 - WARNING - Пропускаем запись с serialno: S179, начинается на 'S'.
2025-07-08 17:03:58,579 - WARNING - Пропускаем запись с serialno: S108, начинается на 'S'.
2025-07-08 17:03:58,580 - WARNING - Пропускаем запись с serialno: S208, начинается на 'S'.
2025-07-08 17:03:58,581 - WARNING - Пропускаем запись с serialno: S106, начинается на 'S'.
2025-07-08 17:03:58,582 - WARNING - Пропускаем запись с serialno: S7, начинается на 'S'.
2025-07-08 17:03:58,582 - WARNING - Пропускаем запись с serialno: S205, начинается на 'S'.
2025-07-08 17:03:58,582 - WARNING - Пропускаем запись с serialno: S174, начинается на 'S'.
2025-07-08 17:03:58,583 - WARNING - Пропускаем запись с serialno: S3, начинается на 'S'.
2025-07-08 17:03:58,583 - WARNING - Пропускаем запись с serialno: S136, начинается на 'S'.
2025-07-08 17:03:58,583 - WARNING - Пропускаем запись с serialno: S138, начинается на 'S'.
2025-07-08 17:03:58,584 - WARNING - Пропускаем запись с serialno: S194, начинается на 'S'.
2025-07-08 17:03:58,584 - WARNING - Пропускаем запись с serialno: S144, начинается на 'S'.
2025-07-08 17:03:58,585 - WARNING - Пропускаем запись с serialno: S235, начинается на 'S'.
2025-07-08 17:03:58,585 - WARNING - Пропускаем запись с serialno: S135, начинается на 'S'.
2025-07-08 17:03:58,586 - WARNING - Пропускаем запись с serialno: S149, начинается на 'S'.
2025-07-08 17:03:58,586 - WARNING - Пропускаем запись с serialno: S197, начинается на 'S'.
2025-07-08 17:03:58,587 - WARNING - Пропускаем запись с serialno: S147, начинается на 'S'.
2025-07-08 17:03:58,587 - WARNING - Пропускаем запись с serialno: S199, начинается на 'S'.
2025-07-08 17:03:58,587 - WARNING - Пропускаем запись с serialno: S61, начинается на 'S'.
2025-07-08 17:03:58,588 - WARNING - Пропускаем запись с serialno: S46, начинается на 'S'.
2025-07-08 17:03:58,588 - WARNING - Пропускаем запись с serialno: S130, начинается на 'S'.
2025-07-08 17:03:58,588 - WARNING - Пропускаем запись с serialno: S99, начинается на 'S'.
2025-07-08 17:03:58,589 - WARNING - Пропускаем запись с serialno: S142, начинается на 'S'.
2025-07-08 17:03:58,589 - WARNING - Пропускаем запись с serialno: S233, начинается на 'S'.
2025-07-08 17:03:58,589 - WARNING - Пропускаем запись с serialno: S192, начинается на 'S'.
2025-07-08 17:03:58,590 - WARNING - Пропускаем запись с serialno: S94, начинается на 'S'.
2025-07-08 17:03:58,590 - WARNING - Пропускаем запись с serialno: S22, начинается на 'S'.
2025-07-08 17:03:58,591 - WARNING - Пропускаем запись с serialno: S12, начинается на 'S'.
2025-07-08 17:03:58,591 - WARNING - Пропускаем запись с serialno: S38, начинается на 'S'.
2025-07-08 17:03:58,592 - WARNING - Пропускаем запись с serialno: S133, начинается на 'S'.
2025-07-08 17:03:58,592 - WARNING - Пропускаем запись с serialno: S35, начинается на 'S'.
2025-07-08 17:03:58,593 - WARNING - Пропускаем запись с serialno: S83, начинается на 'S'.
2025-07-08 17:03:58,593 - WARNING - Пропускаем запись с serialno: S141, начинается на 'S'.
2025-07-08 17:03:58,594 - WARNING - Пропускаем запись с serialno: S230, начинается на 'S'.
2025-07-08 17:03:58,594 - WARNING - Пропускаем запись с serialno: S76, начинается на 'S'.
2025-07-08 17:03:58,595 - WARNING - Пропускаем запись с serialno: S191, начинается на 'S'.
2025-07-08 17:03:58,595 - WARNING - Пропускаем запись с serialno: S51, начинается на 'S'.
2025-07-08 17:03:58,595 - WARNING - Пропускаем запись с serialno: S125, начинается на 'S'.
2025-07-08 17:03:58,596 - WARNING - Пропускаем запись с serialno: S187, начинается на 'S'.
2025-07-08 17:03:58,596 - WARNING - Пропускаем запись с serialno: S228, начинается на 'S'.
2025-07-08 17:03:58,597 - WARNING - Пропускаем запись с serialno: S159, начинается на 'S'.
2025-07-08 17:03:58,597 - WARNING - Пропускаем запись с serialno: S9, начинается на 'S'.
2025-07-08 17:03:58,597 - WARNING - Пропускаем запись с serialno: S189, начинается на 'S'.
2025-07-08 17:03:58,598 - WARNING - Пропускаем запись с serialno: S226, начинается на 'S'.
2025-07-08 17:03:58,599 - WARNING - Пропускаем запись с serialno: S157, начинается на 'S'.
2025-07-08 17:03:58,599 - WARNING - Пропускаем запись с serialno: S126, начинается на 'S'.
2025-07-08 17:03:58,599 - WARNING - Пропускаем запись с serialno: S128, начинается на 'S'.
2025-07-08 17:03:58,600 - WARNING - Пропускаем запись с serialno: S184, начинается на 'S'.
2025-07-08 17:03:58,600 - WARNING - Пропускаем запись с serialno: S225, начинается на 'S'.
2025-07-08 17:03:58,600 - WARNING - Пропускаем запись с serialno: S154, начинается на 'S'.
2025-07-08 17:03:58,601 - WARNING - Пропускаем запись с serialno: S39, начинается на 'S'.
2025-07-08 17:03:58,601 - WARNING - Пропускаем запись с serialno: S13, начинается на 'S'.
2025-07-08 17:03:58,602 - WARNING - Пропускаем запись с serialno: S82, начинается на 'S'.
